Airport ID,Airport Name,CY 16 Enplanements,CY 17 Enplanements
KHRO,Boone County,1178,4371
KMSO,Missoula International,381582,387976
KSBN,South Bend International,329957,307471
KLCQ,Lake City Gateway,2,2
KGLH,Greenville Mid-Delta,4986,5646
KLOM,Wings Field,149,27
KASH,Boire Field,4,3
KCLM,William R Fairchild International,596,584
KAKR,Akron Fulton International,11,4
KDWH,David Wayne Hooks Memorial,529,609
KSBY,Salisbury-Ocean City Wicomico Regional,58695,57421
KTOA,Zamperini Field,0,12
KPDT,Eastern Oregon Regional at Pendleton,2582,5701
KAZO,Kalamazoo/Battle Creek International,154242,146314
KPTS,Atkinson Municipal,0,4
KAMA,Rick Husband Amarillo International,334815,334563
KTVF,Thief River Falls Regional,3524,5735
KBMC,Brigham City Regional,0,6
KFSD,Joe Foss Field,510105,540877
KTMB,Miami Executive,245,119
KVCT,Victoria Regional,3137,2418
KMDT,Harrisburg International,589511,582291
KSLI,Los Alamitos AAF,0,265
KRSN,Ruston Regional,20,25
KAIK,Aiken Regional,13,58
KBVY,Beverly Regional,51,109
KIXD,New Century Aircenter,15,190
KADF,Dexter B Florence Memorial Field,0,3
KSPW,Spencer Municipal,3,41
KHFD,Hartford-Brainard,53,22
KGED,Delaware Coastal,21,9
KATL,Hartsfield - Jackson Atlanta International,50501858,50251964
KHVN,Tweed-New Haven,27911,28669
KMLU,Monroe Regional,102342,103547
KCPR,Casper/Natrona County International,92805,96843
KGCK,Garden City Regional,26825,26687
KABI,Abilene Regional,84809,85085
KRMG,Richard B Russell Regional - J H Towers Field,5,5
KPRB,Paso Robles Municipal,19,14
KLNK,Lincoln,162876,154465
KBRL,Southeast Iowa Regional,7086,7759
KLAN,Capital Region International,161863,196617
KUNV,University Park,134312,138423
KLDM,Mason County,5,3
KHKY,Hickory Regional,889,611
KODO,Odessa-Schlemeyer Field,21,6
KFFM,Fergus Falls Municipal-Einar Mickelson Field,0,3
KMCO,Orlando International,20283541,21565448
KRDU,Raleigh-Durham International,5401714,5692659
KTTD,Portland-Troutdale,4,8
KPJC,Zelienople Municipal,2,6
KOKV,Winchester Regional,6,4
KBJI,Bemidji Regional,25510,29038
KALS,San Luis Valley Regional/Bergman Field,3863,6494
KECG,Elizabeth City CG Air Station/Regional,529,787
KEQY,Charlotte-Monroe Executive,4,1
KEFD,Ellington,1591,641
KCGF,Cuyahoga County,110,37
KJRB,Downtown Manhattan/Wall St,0,5
KGGW,Wokal Field/Glasgow International,3251,3517
KBWD,Brownwood Regional,0,2
KACY,Atlantic City International,589091,552690
KELM,Elmira/Corning Regional,139583,126472
KFLO,Florence Regional,45300,42058
KJFK,John F Kennedy International,29239151,29533154
KSTF,George M Bryan,56,112
KPTD,Potsdam Municipal/Damon Field/,142,6
KMBL,Manistee Co-Blacker,4243,7325
KSDL,Scottsdale,828,953
KVEL,Vernal Regional,4007,6615
KMCK,McCook Ben Nelson Regional,1619,2710
KRZL,Jasper County,0,2
KRMN,Stafford Regional,16,5
KFIN,Flagler Executive,0,2
KBWI,Baltimore/Washington International Thurgood Marshall,12340972,12976554
KRIV,March ARB,14719,18279
KMPO,Pocono Mountains Municipal,0,9
KORS,Orcas Island,7826,7223
KTUS,Tucson International,1594594,1669928
KAUO,Auburn University Regional,591,310
KFOK,Francis S Gabreski,240,431
KPTN,Harry P Williams Memorial,0,10
KSTL,St Louis Lambert International,6793076,7194745
KGRB,Green Bay-Austin Straubel International,292868,283823
KCLE,Cleveland-Hopkins International,4083476,4446555
KAGS,Augusta Regional at Bush Field,270797,288834
KFYV,Drake Field,1190,382
KVRB,Vero Beach Regional,4581,9110
KMDQ,Huntsville Executive Airport Tom Sharp Jr Field,8,2
KEGV,Eagle River Union,57,40
KCOU,Columbia Regional,65014,88650
KENW,Kenosha Regional,8,66
KMHV,Mojave Air and Space Port,0,3
KBKV,Brooksville-Tampa Bay Regional,9,9
KMAF,Midland International Air And Space Port,471490,516983
KPGD,Punta Gorda,558482,643563
KSGF,Springfield-Branson National,462126,483259
KASW,Warsaw Municipal,0,9
KSAT,San Antonio International,4179994,4382127
KMML,Southwest Minnesota Regional Marshall/Ryan Field,0,25
KTDZ,Toledo Executive,58,63
KCWA,Central Wisconsin,119222,116404
KGIF,Winter Haven's Gilbert,5,5
KSMF,Sacramento International,4969366,5341595
KANP,Lee,0,6
KLRU,Las Cruces International,41,283
KSPI,Abraham Lincoln Capital,93269,92048
KVIS,Visalia Municipal,86,3
KGLS,Scholes International at Galveston,10,6
KIAG,Niagara Falls International,126028,142605
KIPT,Williamsport Regional,19320,18323
KIAH,George Bush Intercontinental/Houston,20062072,19603731
KPYM,Plymouth Municipal,10,34
KBFM,Mobile Downtown,1152,947
KMEM,Memphis International,2016089,2102739
